,Year,Tournament,Round,Player_1,Player_2,Result,Winner,Ranking,Total_games,Total_sets,Looser,Grand_Slams
37802,2019,AustralianOpen,4,Yoshihito Nishioka,Tennys Sandgren,6-4 7-6 4-6 6-4,Yoshihito Nishioka,4,33,2,Tennys Sandgren,2
37875,2019,AustralianOpen,4,Alexander Zverev,Aljaz Bedene,6-4 6-1 6-4,Alexander Zverev,4,27,2,Aljaz Bedene,2
37876,2019,AustralianOpen,4,Benoit Paire,Dominic Thiem,3-6 6-1 7-5 3-6 4-6,Dominic Thiem,4,31,3,Benoit Paire,2
37877,2019,AustralianOpen,4,Borna Coric,Steve Darcis,6-1 6-4 6-4,Borna Coric,4,27,2,Steve Darcis,2
37878,2019,AustralianOpen,4,Christian Garin,David Goffin,2-6 2-6 0-6,David Goffin,4,22,3,Christian Garin,2
37879,2019,AustralianOpen,4,Daniil Medvedev,Lloyd Harris,6-1 6-2 6-1,Daniil Medvedev,4,22,2,Lloyd Harris,2
37880,2019,AustralianOpen,4,Denis Shapovalov,Pablo Andujar,6-2 6-3 7-6,Denis Shapovalov,4,30,2,Pablo Andujar,2
37881,2019,AustralianOpen,4,Filip Krajinovic,Marco Cecchinato,4-6 0-6 6-1 7-6 6-4,Filip Krajinovic,4,23,2,Marco Cecchinato,2
37882,2019,AustralianOpen,4,Gilles Simon,Bjorn Fratangelo,7-6 6-4 6-2,Gilles Simon,4,31,2,Bjorn Fratangelo,2
37883,2019,AustralianOpen,4,Guido Pella,Joao Sousa,2-6 6-4 6-7 6-4 6-7,Joao Sousa,4,36,3,Guido Pella,2
37884,2019,AustralianOpen,4,Hyeon Chung,Bradley Klahn,6-7 6-7 6-3 6-2 6-4,Hyeon Chung,4,35,2,Bradley Klahn,2
37885,2019,AustralianOpen,4,Ivo Karlovic,Hubert Hurkacz,6-7 7-6 7-6 7-6,Ivo Karlovic,4,39,2,Hubert Hurkacz,2
37886,2019,AustralianOpen,4,Jack Sock,Alex Bolt,2-6 2-6 3-6 6-4,Alex Bolt,4,27,3,Jack Sock,2
37887,2019,AustralianOpen,4,Jo-Wilfried Tsonga,Martin Klizan,6-4 6-4 7-6,Jo-Wilfried Tsonga,4,33,2,Martin Klizan,2
37888,2019,AustralianOpen,4,Laslo Djere,Evgeny Donskoy,6-7 1-6 4-6 7-6,Evgeny Donskoy,4,30,3,Laslo Djere,2
37889,2019,AustralianOpen,4,Luca Vanni,Pablo Carreno-Busta,4-6 5-7 3-6 6-2 7-6,Pablo Carreno-Busta,4,30,3,Luca Vanni,2
37890,2019,AustralianOpen,4,Lucas Pouille,Mikhail Kukushkin,6-1 7-5 6-4,Lucas Pouille,4,29,2,Mikhail Kukushkin,2
37891,2019,AustralianOpen,4,Marius Copil,Marcel Granollers,6-3 6-4 6-4,Marius Copil,4,29,2,Marcel Granollers,2
37892,2019,AustralianOpen,4,Marton Fucsovics,Albert Ramos-Vinolas,6-3 6-4 6-7 6-3,Marton Fucsovics,4,32,2,Albert Ramos-Vinolas,2
37893,2019,AustralianOpen,4,Maximilian Marterer,Gleb Sakharov,6-3 6-1 6-3,Maximilian Marterer,4,25,2,Gleb Sakharov,2
37894,2019,AustralianOpen,4,Milos Raonic,Nick Kyrgios,6-4 7-6 6-4,Milos Raonic,4,33,2,Nick Kyrgios,2
37895,2019,AustralianOpen,4,Mischa Zverev,Alexei Popyrin,4-6 6-7 5-7,Alexei Popyrin,4,35,3,Mischa Zverev,2
37896,2019,AustralianOpen,4,Nicolas Jarry,Leonardo Mayer,3-6 6-4 6-7 6-7,Leonardo Mayer,4,36,3,Nicolas Jarry,2
37897,2019,AustralianOpen,4,Novak Djokovic,Mitchell Krueger,6-3 6-2 6-2,Novak Djokovic,4,25,2,Mitchell Krueger,2
37898,2019,AustralianOpen,4,Ryan Harrison,Jiri Vesely,6-0 7-5 6-3,Ryan Harrison,4,27,2,Jiri Vesely,2
37899,2019,AustralianOpen,4,Sam Querrey,Pierre-Hugues Herbert,1-6 3-6 6-7 7-5,Pierre-Hugues Herbert,4,34,3,Sam Querrey,2
37900,2019,AustralianOpen,4,Ugo Humbert,Jeremy Chardy,6-7 7-6 4-6 6-7 6-3,Jeremy Chardy,4,32,3,Ugo Humbert,2
37901,2019,AustralianOpen,4,Zhe Li,Philipp Kohlschreiber,4-6 2-6 2-6,Philipp Kohlschreiber,4,26,3,Zhe Li,2
37954,2019,AustralianOpen,5,Daniel Evans,Roger Federer,3-6 6-7 6-7,Roger Federer,4,35,3,Daniel Evans,2
37955,2019,AustralianOpen,5,Denis Kudla,Diego Sebastian Schwartzman,4-6 7-6 6-3 5-7 4-6,Diego Sebastian Schwartzman,4,31,3,Denis Kudla,2
37956,2019,AustralianOpen,5,Frances Tiafoe,Kevin Anderson,4-6 6-4 6-4 7-5,Frances Tiafoe,4,30,2,Kevin Anderson,2
37957,2019,AustralianOpen,5,Henri Laaksonen,Alex De Minaur,3-6 6-4 7-6 2-6 4-6,Alex De Minaur,4,31,3,Henri Laaksonen,2
37958,2019,AustralianOpen,5,John Millman,Roberto Bautista Agut,4-6 7-6 6-3 1-6 3-6,Roberto Bautista Agut,4,25,3,John Millman,2
37959,2019,AustralianOpen,5,Jordan Thompson,Andreas Seppi,4-6 4-6 3-6,Andreas Seppi,4,29,3,Jordan Thompson,2
37960,2019,AustralianOpen,5,Karen Khachanov,Yoshihito Nishioka,6-3 6-3 6-3,Karen Khachanov,4,27,2,Yoshihito Nishioka,2
37961,2019,AustralianOpen,5,Marin Cilic,Mackenzie Mcdonald,7-5 6-7 6-4 6-4,Marin Cilic,4,35,2,Mackenzie Mcdonald,2
37962,2019,AustralianOpen,5,Nikoloz Basilashvili,Stefano Travaglia,3-6 6-3 3-6 6-4 6-3,Nikoloz Basilashvili,4,27,2,Stefano Travaglia,2
37963,2019,AustralianOpen,5,Pablo Cuevas,Grigor Dimitrov,5-7 3-6 7-6 3-6,Grigor Dimitrov,4,31,3,Pablo Cuevas,2
37964,2019,AustralianOpen,5,Radu Albot,Fernando Verdasco,3-6 6-7 1-6,Fernando Verdasco,4,29,3,Radu Albot,2
37965,2019,AustralianOpen,5,Rafael Nadal,Matthew Ebden,6-3 6-2 6-2,Rafael Nadal,4,25,2,Matthew Ebden,2
37966,2019,AustralianOpen,5,Robin Haase,Tomas Berdych,3-6 3-6 1-6,Tomas Berdych,4,25,3,Robin Haase,2
37967,2019,AustralianOpen,5,Taylor Harry Fritz,Gael Monfils,6-3 6-7 7-6 7-6,Taylor Harry Fritz,4,35,2,Gael Monfils,2
37968,2019,AustralianOpen,5,Thomas Fabbiano,Reilly Opelka,6-7 6-2 6-4 3-6 7-6,Thomas Fabbiano,4,31,2,Reilly Opelka,2
37969,2019,AustralianOpen,5,Viktor Troicki,Stefanos Tsitsipas,5-7 2-6 6-2 3-6,Stefanos Tsitsipas,4,25,3,Viktor Troicki,2
38043,2019,AustralianOpen,5,Alex Bolt,Gilles Simon,2-6 6-4 4-6 7-6 6-4,Alex Bolt,4,28,2,Gilles Simon,2
38044,2019,AustralianOpen,5,Denis Shapovalov,Taro Daniel,6-3 7-6 6-3,Denis Shapovalov,4,31,2,Taro Daniel,2
38045,2019,AustralianOpen,5,Evgeny Donskoy,Filip Krajinovic,6-7 6-7 4-6,Filip Krajinovic,4,36,3,Evgeny Donskoy,2
38046,2019,AustralianOpen,5,Hyeon Chung,Pierre-Hugues Herbert,4-6 2-6 6-1 2-6,Pierre-Hugues Herbert,4,23,3,Hyeon Chung,2
38047,2019,AustralianOpen,5,Jeremy Chardy,Alexander Zverev,1-6 7-6 7-5 4-6 6-7,Alexander Zverev,4,35,3,Jeremy Chardy,2
38048,2019,AustralianOpen,5,Jo-Wilfried Tsonga,Novak Djokovic,4-6 5-7 3-6,Novak Djokovic,4,31,3,Jo-Wilfried Tsonga,2
38049,2019,AustralianOpen,5,Kei Nishikori,Ivo Karlovic,6-3 7-6 5-7 5-7 7-6,Kei Nishikori,4,34,2,Ivo Karlovic,2
38050,2019,AustralianOpen,5,Leonardo Mayer,Fabio Fognini,6-7 3-6 6-7,Fabio Fognini,4,35,3,Leonardo Mayer,2
38051,2019,AustralianOpen,5,Marius Copil,David Goffin,4-6 2-6 5-7 7-5,David Goffin,4,32,3,Marius Copil,2
38052,2019,AustralianOpen,5,Marton Fucsovics,Borna Coric,4-6 3-6 4-6,Borna Coric,4,29,3,Marton Fucsovics,2
38053,2019,AustralianOpen,5,Maximilian Marterer,Lucas Pouille,4-6 7-5 6-7 6-7,Lucas Pouille,4,38,3,Maximilian Marterer,2
38054,2019,AustralianOpen,5,Pablo Carreno-Busta,Ilya Ivashka,6-2 6-3 7-6,Pablo Carreno-Busta,4,30,2,Ilya Ivashka,2
38055,2019,AustralianOpen,5,Philipp Kohlschreiber,Joao Sousa,4-6 7-5 6-7 6-4 5-7,Joao Sousa,4,35,3,Philipp Kohlschreiber,2
38056,2019,AustralianOpen,5,Ryan Harrison,Daniil Medvedev,3-6 3-6 3-6,Daniil Medvedev,4,27,3,Ryan Harrison,2
38057,2019,AustralianOpen,5,Stan Wawrinka,Milos Raonic,6-7 6-7 6-7 7-6,Milos Raonic,4,39,3,Stan Wawrinka,2
38114,2019,AustralianOpen,6,Alex De Minaur,Rafael Nadal,4-6 2-6 1-6,Rafael Nadal,4,25,3,Alex De Minaur,2
38115,2019,AustralianOpen,6,Andreas Seppi,Frances Tiafoe,3-6 4-6 6-4 3-6 7-6,Frances Tiafoe,4,32,3,Andreas Seppi,2
38116,2019,AustralianOpen,6,Diego Sebastian Schwartzman,Tomas Berdych,4-6 5-7 3-6 7-5,Tomas Berdych,4,33,3,Diego Sebastian Schwartzman,2
38117,2019,AustralianOpen,6,Fernando Verdasco,Marin Cilic,3-6 6-7 1-6 6-3 6-4,Marin Cilic,4,26,3,Fernando Verdasco,2
38118,2019,AustralianOpen,6,Grigor Dimitrov,Thomas Fabbiano,7-6 6-4 6-4,Grigor Dimitrov,4,33,2,Thomas Fabbiano,2
38119,2019,AustralianOpen,6,Roberto Bautista Agut,Karen Khachanov,6-4 7-5 6-4,Roberto Bautista Agut,4,32,2,Karen Khachanov,2
38120,2019,AustralianOpen,6,Roger Federer,Taylor Harry Fritz,6-2 7-5 6-2,Roger Federer,4,28,2,Taylor Harry Fritz,2
38121,2019,AustralianOpen,6,Stefanos Tsitsipas,Nikoloz Basilashvili,6-3 3-6 7-6 6-4,Stefanos Tsitsipas,4,31,2,Nikoloz Basilashvili,2
38164,2019,AustralianOpen,6,Alexander Zverev,Alex Bolt,6-3 6-3 6-2,Alexander Zverev,4,26,2,Alex Bolt,2
38165,2019,AustralianOpen,6,Borna Coric,Filip Krajinovic,2-6 6-3 6-4 6-3,Borna Coric,4,27,2,Filip Krajinovic,2
38166,2019,AustralianOpen,6,David Goffin,Daniil Medvedev,3-6 6-7 2-6,Daniil Medvedev,4,30,3,David Goffin,2
38167,2019,AustralianOpen,6,Denis Shapovalov,Novak Djokovic,0-6 6-4 4-6 3-6,Novak Djokovic,4,29,3,Denis Shapovalov,2
38168,2019,AustralianOpen,6,Fabio Fognini,Pablo Carreno-Busta,4-6 6-2 4-6 2-6,Pablo Carreno-Busta,4,26,3,Fabio Fognini,2
38169,2019,AustralianOpen,6,Joao Sousa,Kei Nishikori,2-6 1-6 6-7,Kei Nishikori,4,28,3,Joao Sousa,2
38170,2019,AustralianOpen,6,Lucas Pouille,Alexei Popyrin,7-6 6-3 6-7 4-6 6-3,Lucas Pouille,4,35,2,Alexei Popyrin,2
38171,2019,AustralianOpen,6,Pierre-Hugues Herbert,Milos Raonic,6-7 4-6 4-6,Milos Raonic,4,33,3,Pierre-Hugues Herbert,2
38202,2019,AustralianOpen,7,Grigor Dimitrov,Frances Tiafoe,5-7 7-6 6-7 5-7,Frances Tiafoe,4,38,3,Grigor Dimitrov,2
38203,2019,AustralianOpen,7,Marin Cilic,Roberto Bautista Agut,4-6 6-4 2-6 3-6 7-6,Roberto Bautista Agut,4,30,3,Marin Cilic,2
38204,2019,AustralianOpen,7,Rafael Nadal,Tomas Berdych,6-0 6-1 7-6,Rafael Nadal,4,26,2,Tomas Berdych,2
38205,2019,AustralianOpen,7,Stefanos Tsitsipas,Roger Federer,6-7 7-6 7-5 7-6,Stefanos Tsitsipas,4,38,2,Roger Federer,2
38220,2019,AustralianOpen,7,Borna Coric,Lucas Pouille,6-7 5-7 4-6 7-6,Lucas Pouille,4,35,3,Borna Coric,2
38221,2019,AustralianOpen,7,Kei Nishikori,Pablo Carreno-Busta,6-7 4-6 7-6 6-4 7-6,Kei Nishikori,4,36,2,Pablo Carreno-Busta,2
38222,2019,AustralianOpen,7,Milos Raonic,Alexander Zverev,6-1 6-1 7-6,Milos Raonic,4,27,2,Alexander Zverev,2
38223,2019,AustralianOpen,7,Novak Djokovic,Daniil Medvedev,6-4 6-7 6-2 6-3,Novak Djokovic,4,31,2,Daniil Medvedev,2
38389,2019,AustralianOpen,9,Frances Tiafoe,Rafael Nadal,2-6 4-6 3-6,Rafael Nadal,4,27,3,Frances Tiafoe,2
38390,2019,AustralianOpen,9,Roberto Bautista Agut,Stefanos Tsitsipas,6-7 4-6 6-4 5-7,Stefanos Tsitsipas,4,32,3,Roberto Bautista Agut,2
38517,2019,AustralianOpen,9,Lucas Pouille,Milos Raonic,7-6 6-3 6-7 6-4,Lucas Pouille,4,35,2,Milos Raonic,2
38620,2019,AustralianOpen,10,Stefanos Tsitsipas,Rafael Nadal,0-6 4-6 2-6,Rafael Nadal,4,24,3,Stefanos Tsitsipas,2
38710,2019,AustralianOpen,10,Lucas Pouille,Novak Djokovic,2-6 2-6 0-6,Novak Djokovic,4,22,3,Lucas Pouille,2
38784,2019,AustralianOpen,12,Rafael Nadal,Novak Djokovic,3-6 2-6 3-6,Novak Djokovic,4,26,3,Rafael Nadal,2
52286,2018,Wimbledon,7,Adrian Mannarino,Roger Federer,4-6 5-7 0-6,Roger Federer,4,28,3,Adrian Mannarino,2
52287,2018,Wimbledon,7,Ernests Gulbis,Kei Nishikori,1-6 6-7 6-7 6-4,Kei Nishikori,4,36,3,Ernests Gulbis,2
52288,2018,Wimbledon,7,Gael Monfils,Kevin Anderson,6-7 7-5 6-7 6-7,Kevin Anderson,4,38,3,Gael Monfils,2
52289,2018,Wimbledon,7,Mackenzie Mcdonald,Milos Raonic,2-6 7-6 4-6 3-6,Milos Raonic,4,32,3,Mackenzie Mcdonald,2
52290,2018,Wimbledon,7,Novak Djokovic,Karen Khachanov,6-4 6-2 6-2,Novak Djokovic,4,26,2,Karen Khachanov,2
52291,2018,Wimbledon,7,Rafael Nadal,Jiri Vesely,6-3 6-3 6-4,Rafael Nadal,4,28,2,Jiri Vesely,2
52292,2018,Wimbledon,7,Stefanos Tsitsipas,John Isner,6-7 6-7 4-6,John Isner,4,36,3,Stefanos Tsitsipas,2
52438,2018,Wimbledon,7,Gilles Simon,Juan Martin Del Potro,6-7 7-5 6-7 6-7,Juan Martin Del Potro,4,38,3,Gilles Simon,2
52554,2018,Wimbledon,9,Kevin Anderson,Roger Federer,2-6 6-7 7-5 6-4 13-11,Kevin Anderson,4,33,2,Roger Federer,2
52555,2018,Wimbledon,9,Milos Raonic,John Isner,3-6 4-6 6-7 7-6,John Isner,4,36,3,Milos Raonic,2
52556,2018,Wimbledon,9,Novak Djokovic,Kei Nishikori,6-3 3-6 6-2 6-2,Novak Djokovic,4,26,2,Kei Nishikori,2
52557,2018,Wimbledon,9,Rafael Nadal,Juan Martin Del Potro,7-5 6-7 4-6 6-4 6-4,Rafael Nadal,4,35,2,Juan Martin Del Potro,2
52688,2018,Wimbledon,10,John Isner,Kevin Anderson,42-62 4-6 7-6 7-6 6-7,Kevin Anderson,4,39,3,John Isner,2
52918,2018,Wimbledon,10,Novak Djokovic,Rafael Nadal,6-4 3-6 7-6 3-6 10-8,Novak Djokovic,4,32,2,Rafael Nadal,2
53224,2018,Wimbledon,12,Kevin Anderson,Novak Djokovic,6-7 2-6 2-6,Novak Djokovic,4,29,3,Kevin Anderson,2
61371,2018,Wimbledon,4,Aljaz Bedene,Cameron Norrie,4-6 7-6 7-6 6-4,Aljaz Bedene,4,36,2,Cameron Norrie,2
61372,2018,Wimbledon,4,Borna Coric,Daniil Medvedev,2-6 2-6 6-7,Daniil Medvedev,4,29,3,Borna Coric,2
61373,2018,Wimbledon,4,Christian Garin,Adrian Mannarino,2-6 6-7 6-1 3-6,Adrian Mannarino,4,29,3,Christian Garin,2
61374,2018,Wimbledon,4,Denis Kudla,Lucas Pouille,3-6 6-2 3-6 3-6,Lucas Pouille,4,26,3,Denis Kudla,2
61375,2018,Wimbledon,4,Evgeny Donskoy,Philipp Kohlschreiber,5-7 4-6 2-6,Philipp Kohlschreiber,4,30,3,Evgeny Donskoy,2
61376,2018,Wimbledon,4,Filip Krajinovic,Nicolas Jarry,4-6 6-7 6-3 3-6,Nicolas Jarry,4,31,3,Filip Krajinovic,2
61377,2018,Wimbledon,4,Gastao Elias,Guillermo Garcia-Lopez,2-6 4-6 2-6,Guillermo Garcia-Lopez,4,26,3,Gastao Elias,2
61378,2018,Wimbledon,4,Gregoire Barrere,Stefanos Tsitsipas,5-7 7-6 4-6 3-6,Stefanos Tsitsipas,4,32,3,Gregoire Barrere,2
61379,2018,Wimbledon,4,Grigor Dimitrov,Stan Wawrinka,4-6 6-7 6-7 6-1,Stan Wawrinka,4,33,3,Grigor Dimitrov,2
61380,2018,Wimbledon,4,Jan-Lennard Struff,Leonardo Mayer,3-6 6-7 7-6 7-6 6-1,Jan-Lennard Struff,4,35,2,Leonardo Mayer,2
61381,2018,Wimbledon,4,Jason Murray Kubler,Guido Pella,6-7 6-4 5-7 4-6,Guido Pella,4,32,3,Jason Murray Kubler,2
61382,2018,Wimbledon,4,John Isner,Yannick Maden,6-2 7-6 7-5,John Isner,4,33,2,Yannick Maden,2
61383,2018,Wimbledon,4,John-Patrick Smith,Andreas Seppi,1-6 4-6 2-6,Andreas Seppi,4,25,3,John-Patrick Smith,2
61384,2018,Wimbledon,4,Laslo Djere,Paolo Lorenzi,4-6 2-6 7-6 6-7,Paolo Lorenzi,4,34,3,Laslo Djere,2
61385,2018,Wimbledon,4,Liam Broady,Milos Raonic,1-6 0-6 5-7,Milos Raonic,4,25,3,Liam Broady,2
61386,2018,Wimbledon,4,Lukas Lacko,Benjamin Bonzi,4-6 6-3 7-6 6-4,Lukas Lacko,4,32,2,Benjamin Bonzi,2
61387,2018,Wimbledon,4,Malek Jaziri,Jared Donaldson,1-6 3-6 6-7,Jared Donaldson,4,29,3,Malek Jaziri,2
61388,2018,Wimbledon,4,Michael Mmoh,Gilles Muller,1-6 6-3 6-7 6-4 5-7,Gilles Muller,4,35,3,Michael Mmoh,2
61389,2018,Wimbledon,4,Mikhail Youzhny,Ivo Karlovic,3-6 6-7 5-7 6-4,Ivo Karlovic,4,35,3,Mikhail Youzhny,2
61390,2018,Wimbledon,4,Norbert Gombos,Kevin Anderson,4-6 4-6 3-6,Kevin Anderson,4,29,3,Norbert Gombos,2
61391,2018,Wimbledon,4,Peter Polansky,Dennis Novak,6-7 3-6 2-6,Dennis Novak,4,30,3,Peter Polansky,2
61392,2018,Wimbledon,4,Richard Berankis,Mackenzie Mcdonald,6-7 3-6 6-7 6-4,Mackenzie Mcdonald,4,32,3,Richard Berankis,2
61393,2018,Wimbledon,4,Richard Gasquet,Gael Monfils,4-6 5-7 6-7,Gael Monfils,4,35,3,Richard Gasquet,2
61394,2018,Wimbledon,4,Roberto Carballes Baena,Ryan Harrison,2-6 4-6 1-6,Ryan Harrison,4,25,3,Roberto Carballes Baena,2
61395,2018,Wimbledon,4,Roger Federer,Dusan Lajovic,6-1 6-3 6-4,Roger Federer,4,26,2,Dusan Lajovic,2
61396,2018,Wimbledon,4,Ruben Bemelmans,Steve Johnson,7-5 6-3 4-6 6-7 8-6,Ruben Bemelmans,4,31,2,Steve Johnson,2
61397,2018,Wimbledon,4,Sam Querrey,Jordan Thompson,6-2 6-4 6-3,Sam Querrey,4,27,2,Jordan Thompson,2
61398,2018,Wimbledon,4,Sergiy Stakhovsky,Joao Sousa,6-3 6-3 5-7 1-6 6-4,Sergiy Stakhovsky,4,30,2,Joao Sousa,2
61399,2018,Wimbledon,4,Stefano Travaglia,John Millman,2-6 5-7 3-6 7-6,John Millman,4,34,3,Stefano Travaglia,2
61400,2018,Wimbledon,4,Yoshihito Nishioka,Marin Cilic,4-6 4-6 1-6,Marin Cilic,4,27,3,Yoshihito Nishioka,2
61401,2018,Wimbledon,4,Yuki Bhambri,Thomas Fabbiano,2-6 3-6 3-6 6-2,Thomas Fabbiano,4,26,3,Yuki Bhambri,2
61574,2018,Wimbledon,4,Albert Ramos-Vinolas,Stephane Robert,1-6 2-6 6-7,Stephane Robert,4,28,3,Albert Ramos-Vinolas,2
61575,2018,Wimbledon,4,Alex De Minaur,Marco Cecchinato,6-4 6-7 7-6 6-4,Alex De Minaur,4,36,2,Marco Cecchinato,2
61576,2018,Wimbledon,4,Bernard Tomic,Hubert Hurkacz,6-4 6-2 7-6,Bernard Tomic,4,31,2,Hubert Hurkacz,2
61577,2018,Wimbledon,4,Bradley Klahn,Yuichi Sugita,2-6 7-6 6-2 6-2,Bradley Klahn,4,29,2,Yuichi Sugita,2
61578,2018,Wimbledon,4,Damir Dzumhur,Maximilian Marterer,6-3 6-2 6-4,Damir Dzumhur,4,27,2,Maximilian Marterer,2
61579,2018,Wimbledon,4,David Goffin,Matthew Ebden,4-6 3-6 4-6,Matthew Ebden,4,29,3,David Goffin,2
61580,2018,Wimbledon,4,Denis Shapovalov,Jeremy Chardy,6-3 3-6 7-5 6-4,Denis Shapovalov,4,30,2,Jeremy Chardy,2
61581,2018,Wimbledon,4,Dudi Sela,Rafael Nadal,2-6 3-6 3-6,Rafael Nadal,4,26,3,Dudi Sela,2
61582,2018,Wimbledon,4,Federico Delbonis,Feliciano Lopez,2-6 4-6 3-6,Feliciano Lopez,4,27,3,Federico Delbonis,2
61583,2018,Wimbledon,4,Florian Mayer,Jiri Vesely,1-6 6-4 4-6 6-7,Jiri Vesely,4,33,3,Florian Mayer,2
61584,2018,Wimbledon,4,Frances Tiafoe,Fernando Verdasco,7-6 7-6 3-6 6-3,Frances Tiafoe,4,35,2,Fernando Verdasco,2
61585,2018,Wimbledon,4,Horacio Zeballos,Guido Andreozzi,4-6 7-6 6-4 6-4,Horacio Zeballos,4,33,2,Guido Andreozzi,2
61586,2018,Wimbledon,4,James Duckworth,Alexander Zverev,0-6 2-6 5-7,Alexander Zverev,4,26,3,James Duckworth,2
61587,2018,Wimbledon,4,Jason Jung,Benoit Paire,4-6 6-7 5-7,Benoit Paire,4,35,3,Jason Jung,2
61588,2018,Wimbledon,4,Jay Clarke,Ernests Gulbis,4-6 6-3 6-7 3-6 6-4,Ernests Gulbis,4,32,3,Jay Clarke,2
61589,2018,Wimbledon,4,Juan Martin Del Potro,Peter Gojowczyk,6-3 6-4 6-3,Juan Martin Del Potro,4,28,2,Peter Gojowczyk,2
61590,2018,Wimbledon,4,Karen Khachanov,David Ferrer,6-1 7-6 3-6 7-5,Karen Khachanov,4,29,2,David Ferrer,2
61591,2018,Wimbledon,4,Kei Nishikori,Christian Harrison,6-2 4-6 7-6 6-2,Kei Nishikori,4,31,2,Christian Harrison,2
61592,2018,Wimbledon,4,Kyle Edmund,Alex Bolt,6-2 6-3 7-5,Kyle Edmund,4,29,2,Alex Bolt,2
61593,2018,Wimbledon,4,Marius Copil,Robin Haase,6-7 6-4 5-7 6-7,Robin Haase,4,35,3,Marius Copil,2
61594,2018,Wimbledon,4,Marton Fucsovics,Julien Benneteau,3-6 5-7 5-7,Julien Benneteau,4,33,3,Marton Fucsovics,2
61595,2018,Wimbledon,4,Matteo Berrettini,Jack Sock,6-7 6-7 6-4 7-5 6-2,Matteo Berrettini,4,36,2,Jack Sock,2
61596,2018,Wimbledon,4,Mikhail Kukushkin,Vasek Pospisil,6-4 3-6 6-2 6-3,Mikhail Kukushkin,4,27,2,Vasek Pospisil,2
61597,2018,Wimbledon,4,Mirza Basic,Diego Sebastian Schwartzman,1-6 2-6 3-6,Diego Sebastian Schwartzman,4,24,3,Mirza Basic,2
61598,2018,Wimbledon,4,Mischa Zverev,Pierre-Hugues Herbert,4-6 3-6 4-6,Pierre-Hugues Herbert,4,29,3,Mischa Zverev,2
61599,2018,Wimbledon,4,Nick Kyrgios,Denis Istomin,7-6 7-6 6-7 6-3,Nick Kyrgios,4,39,2,Denis Istomin,2
61600,2018,Wimbledon,4,Nikoloz Basilashvili,Gilles Simon,1-6 6-7 1-6,Gilles Simon,4,27,3,Nikoloz Basilashvili,2
61601,2018,Wimbledon,4,Pablo Carreno-Busta,Radu Albot,1-6 2-6 7-6 0-6 6-3,Radu Albot,4,28,3,Pablo Carreno-Busta,2
61602,2018,Wimbledon,4,Pablo Cuevas,Simone Bolelli,1-6 6-7 6-7,Simone Bolelli,4,33,3,Pablo Cuevas,2
61603,2018,Wimbledon,4,Taro Daniel,Fabio Fognini,3-6 3-6 3-6 6-3,Fabio Fognini,4,27,3,Taro Daniel,2
61604,2018,Wimbledon,4,Taylor Harry Fritz,Lorenzo Sonego,3-6 6-3 6-2 6-2,Taylor Harry Fritz,4,26,2,Lorenzo Sonego,2
61605,2018,Wimbledon,4,Tennys Sandgren,Novak Djokovic,2-6 1-6 3-6,Novak Djokovic,4,24,3,Tennys Sandgren,2
61717,2018,Wimbledon,5,Adrian Mannarino,Ryan Harrison,7-5 7-5 7-6,Adrian Mannarino,4,37,2,Ryan Harrison,2
61718,2018,Wimbledon,5,Aljaz Bedene,Radu Albot,3-6 7-5 6-7 6-4 2-6,Radu Albot,4,31,3,Aljaz Bedene,2
61719,2018,Wimbledon,5,Daniil Medvedev,Guillermo Garcia-Lopez,6-3 6-4 6-2,Daniil Medvedev,4,27,2,Guillermo Garcia-Lopez,2
61720,2018,Wimbledon,5,Dennis Novak,Lucas Pouille,6-4 6-2 6-7 3-6 6-2,Dennis Novak,4,31,2,Lucas Pouille,2
61721,2018,Wimbledon,5,Gael Monfils,Paolo Lorenzi,3-6 6-3 7-6 7-6,Gael Monfils,4,31,2,Paolo Lorenzi,2
61722,2018,Wimbledon,5,Ivo Karlovic,Jan-Lennard Struff,11-31 6-7 6-7 6-3 7-6,Jan-Lennard Struff,4,35,3,Ivo Karlovic,2
61723,2018,Wimbledon,5,Milos Raonic,John Millman,7-6 7-6 7-6,Milos Raonic,4,39,2,John Millman,2
61724,2018,Wimbledon,5,Nicolas Jarry,Mackenzie Mcdonald,9-11 2-6 6-3 7-5 6-7,Mackenzie Mcdonald,4,34,3,Nicolas Jarry,2
61725,2018,Wimbledon,5,Roger Federer,Lukas Lacko,6-4 6-4 6-1,Roger Federer,4,27,2,Lukas Lacko,2
61726,2018,Wimbledon,5,Sergiy Stakhovsky,Sam Querrey,3-6 3-6 6-7,Sam Querrey,4,31,3,Sergiy Stakhovsky,2
61811,2018,Wimbledon,5,Alex De Minaur,Pierre-Hugues Herbert,6-2 6-7 7-5 6-3,Alex De Minaur,4,33,2,Pierre-Hugues Herbert,2
61812,2018,Wimbledon,5,Bernard Tomic,Kei Nishikori,5-7 6-7 3-6 6-2,Kei Nishikori,4,30,3,Bernard Tomic,2
61813,2018,Wimbledon,5,Bradley Klahn,Kyle Edmund,2-6 6-7 4-6,Kyle Edmund,4,31,3,Bradley Klahn,2
61814,2018,Wimbledon,5,Denis Shapovalov,Benoit Paire,6-7 4-6 2-6 6-0,Benoit Paire,4,24,3,Denis Shapovalov,2
61815,2018,Wimbledon,5,Diego Sebastian Schwartzman,Jiri Vesely,6-7 4-6 3-6,Jiri Vesely,4,32,3,Diego Sebastian Schwartzman,2
